lgfR0 	 Delta_chi2 	 -loglkl 	 avg_best_loglkl 	 initial_loglkl 	 omega_b 	 omega_cdm 	 H0 	 ln10^{10}A_s 	 n_s 	 aIA 	 etaIA 	 log10Mc 	 thej
4.6200000000 	 1.2632303412e+01 	 7.1093083942e+00 	 7.1093083942e+00 	 6.1159838355e+03 	 0.0225127698 	 0.1127645307 	 66.222950072 	 3.1412686846 	 0.9596906028 	 1.7039022521 	 -0.376102453 	 13.1570060773 	 6.1152963882
4.7400000000 	 1.1194802811e+01 	 6.3905580937e+00 	 6.3905580937e+00 	 4.6003286950e+03 	 0.0225137404 	 0.1142660298 	 66.4340513595 	 3.1296258199 	 0.9595071439 	 1.7114502896 	 -0.3835406477 	 13.2323941306 	 5.6044892366
4.8410400000 	 1.0308604058e+01 	 5.9474587173e+00 	 5.9474587173e+00 	 3.4365388093e+03 	 0.0224894577 	 0.1152341599 	 66.6910571733 	 3.123352709 	 0.9595003825 	 1.712339173 	 -0.3837126831 	 13.273731565 	 5.0750405199
5.2419500000 	 3.6558964603e+00 	 2.6211049185e+00 	 2.6211049185e+00 	 5.7783318214e+02 	 0.0224494356 	 0.1188374185 	 66.5130641319 	 3.0795237477 	 0.9596118244 	 1.7179373621 	 -0.4143513504 	 13.2522848062 	 4.1510305602
5.3010300000 	 2.7179721791e+00 	 2.1521427778e+00 	 2.1521427778e+00 	 3.8544005789e+02 	 0.0224462281 	 0.119255259 	 66.4383310028 	 3.0736794965 	 0.9596462767 	 1.7178182846 	 -0.4193735185 	 13.2323473782 	 4.1107015329
5.3880000000 	 1.8926280849e+00 	 1.7394707307e+00 	 1.7394707307e+00 	 1.8775700613e+02 	 0.0224474307 	 0.1196292667 	 66.2953173342 	 3.0676996396 	 0.9597220935 	 1.7168843497 	 -0.4243287416 	 13.1875981858 	 4.0702265132
5.5385400000 	 6.9208405718e-01 	 1.1391987169e+00 	 1.1391987169e+00 	 3.3531916197e+01 	 0.0224425521 	 0.1202489303 	 66.0329547433 	 3.0565892367 	 0.959802963 	 1.713781262 	 -0.4312116619 	 13.1182084089 	 4.021630069
5.7646875166 	 1.6541226199e-03 	 7.9398374960e-01 	 7.9398374960e-01 	 1.0232631606e+00 	 0.0224430778 	 0.1209434968 	 65.7401941949 	 3.0446843189 	 0.9599083959 	 1.7067440906 	 -0.4357872259 	 12.9966097766 	 4.1049336495
5.8480000000 	 6.2912093062e-02 	 8.2461273482e-01 	 8.2461273482e-01 	 9.9357751380e-01 	 0.0224424397 	 0.121106612 	 65.6319981213 	 3.0410774 	 0.9599378417 	 1.7037840702 	 -0.4356339781 	 12.9579623794 	 4.1266635166
6.0827000000 	 5.2189410080e-01 	 1.0541037387e+00 	 1.0541037387e+00 	 1.6395538759e+00 	 0.0224452975 	 0.1216311557 	 65.4274518987 	 3.0311900121 	 0.9599671408 	 1.695729203 	 -0.4324808005 	 12.8654358039 	 4.2214449188
6.2456600000 	 9.0513557162e-01 	 1.2457244741e+00 	 1.2457244741e+00 	 1.5543242746e+00 	 0.0224440024 	 0.121748553 	 65.3561396816 	 3.0292077271 	 0.9600702246 	 1.6916002317 	 -0.4295622007 	 12.7996841568 	 4.3337628883
6.3300000000 	 1.2338544977e+00 	 1.4100839371e+00 	 1.4100839371e+00 	 1.6628538403e+00 	 0.022444957 	 0.1220289859 	 65.3168335095 	 3.0243720794 	 0.9599629912 	 1.6896841606 	 -0.4277282787 	 12.8048478985 	 4.2994962141
6.4191300000 	 1.4310627793e+00 	 1.5086880779e+00 	 1.5086880779e+00 	 1.9294120113e+00 	 0.0224439301 	 0.1221013389 	 65.3013848906 	 3.0232973079 	 0.9600257245 	 1.6880267365 	 -0.42522219 	 12.7888368638 	 4.3203331548
6.5000000000 	 1.6869053645e+00 	 1.6366093705e+00 	 1.6366093705e+00 	 2.0270623134e+00 	 0.0224428758 	 0.1222502285 	 65.2829292708 	 3.0208168529 	 0.9599846293 	 1.6870789838 	 -0.4238730056 	 12.7854130808 	 4.3136773911
6.6700000000 	 2.0611002463e+00 	 1.8237068115e+00 	 1.8237068115e+00 	 2.3419905812e+00 	 0.0224462134 	 0.1224979211 	 65.2844855762 	 3.0174913891 	 0.9600080545 	 1.6866100715 	 -0.4215963314 	 12.7765531015 	 4.3243174397
6.7500000000 	 2.0122950054e+00 	 1.7993041910e+00 	 1.7993041910e+00 	 2.8277991644e+00 	 0.0224479894 	 0.1225909876 	 65.3075937193 	 3.0168282247 	 0.9600564753 	 1.6865805112 	 -0.4205021783 	 12.7617385304 	 4.3737814519
6.9158700000 	 2.1680555804e+00 	 1.8771844785e+00 	 1.8771844785e+00 	 2.2918970476e+00 	 0.0224459503 	 0.1228343362 	 65.3443491404 	 3.0138269142 	 0.9600392747 	 1.6873730581 	 -0.4179017905 	 12.7640543745 	 4.3590158322
6.9700000000 	 2.2122680449e+00 	 1.8992907107e+00 	 1.8992907107e+00 	 2.3514718522e+00 	 0.0224464567 	 0.1229342021 	 65.3635996897 	 3.0127381648 	 0.9600030994 	 1.6872627908 	 -0.4170186243 	 12.7648822021 	 4.3632228841
