lgfR0          		 | rep. no.  current iter 	 current loglkl 	 best iter 	 best loglkl 	 converged? 
          4.62 	 | rep 1 	 54            	 7.1093083942e+00 	 53        	 7.1093083942e+00 	 False 
          4.74 	 | rep 1 	 55            	 6.3905580937e+00 	 55        	 6.3905580937e+00 	 False 
       4.84104 	 | rep 1 	 60            	 5.9474587173e+00 	 58        	 5.9474587173e+00 	 False 
       5.24195 	 | rep 1 	 61            	 2.6211049185e+00 	 59        	 2.6211049185e+00 	 False 
       5.30103 	 | rep 1 	 61            	 2.1521427778e+00 	 58        	 2.1521427778e+00 	 False 
         5.388 	 | rep 1 	 63            	 1.7394719406e+00 	 48        	 1.7394707307e+00 	 False 
       5.53854 	 | rep 1 	 61            	 1.1391987169e+00 	 52        	 1.1391987169e+00 	 False 
   5.764687517 	 | rep 1 	 55            	 7.9399213655e-01 	 50        	 7.9398374960e-01 	 False 
         5.848 	 | rep 1 	 62            	 8.2461273482e-01 	 59        	 8.2461273482e-01 	 False 
        6.0827 	 | rep 1 	 60            	 1.0605444687e+00 	 35        	 1.0541037387e+00 	 False 
       6.24566 	 | rep 1 	 61            	 1.2963163971e+00 	 35        	 1.2457244741e+00 	 False 
          6.33 	 | rep 1 	 55            	 1.4100839371e+00 	 55        	 1.4100839371e+00 	 False 
       6.41913 	 | rep 1 	 62            	 1.5086880779e+00 	 61        	 1.5086880779e+00 	 False 
           6.5 	 | rep 1 	 55            	 1.6366093705e+00 	 50        	 1.6366093705e+00 	 False 
          6.67 	 | rep 1 	 57            	 1.8237068115e+00 	 57        	 1.8237068115e+00 	 False 
          6.75 	 | rep 1 	 57            	 1.7993041910e+00 	 56        	 1.7993041910e+00 	 False 
       6.91587 	 | rep 1 	 55            	 1.8771844785e+00 	 52        	 1.8771844785e+00 	 False 
          6.97 	 | rep 1 	 57            	 1.9014928103e+00 	 36        	 1.8992907107e+00 	 False 
